GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
SLC9A9-AS1	0	0	0	0	0	0	0	0	0	0
SLC9A9-AS2	0	0	0	0	0	0	0	0	0	0
SLC9B1	0	0	0	0	0	0	0	0	0	0
SLC9B2	1.98	1.98	1.73	1.73	1.98	1.73	2.01	1.98	1.73	1.19
SLC9C1	0	0	0	0	0	0	0	0	0	0
SLC9C2	0	0	0	0	0	0	0	0	0	0
SLCO1A2	0	0	0	0	0	0	0	0	0	0
SLCO1B1	0	0	0	0	0	0	0	0	0	0
SLCO1B3	0	0	0	0	0	0	0	0	0	0
SLCO1B7	0	0	0	0	0	0	0	0	0	0
SLCO1C1	0	0	0	0	0	0	0	0	0	0
SLCO2A1	3.34	3.34	1.97	1.97	3.34	1.97	2.16	3.34	1.97	1.19
SLCO2B1	5.05	5.05	6.56	6.56	5.05	6.56	4.33	5.05	6.56	6.26
SLCO3A1	2.28	2.28	3.19	3.19	2.28	3.19	3.49	2.28	3.19	3.5
SLCO4A1	2.04	2.04	4.18	4.18	2.04	4.18	0.84	2.04	4.18	0.81
SLCO4C1	0	0	0	0	0	0	0	0	0	0
SLCO5A1	0	0	0	0	0	0	0	0	0	0
SLCO6A1	0	0	0	0	0	0	0	0	0	0
SLFN11	3.7	3.7	4.72	4.72	3.7	4.72	5.09	3.7	4.72	5.16
SLFN12	0	0	0	0	0	0	0.11	0	0	0
SLFN12L	0	0	0	0	0	0	0	0	0	0
SLFN13	3.51	3.51	3.05	3.05	3.51	3.05	4.17	3.51	3.05	4.47
SLFN14	0	0	0	0	0	0	0	0	0	0
SLFN5	3.92	3.92	3.87	3.87	3.92	3.87	4.25	3.92	3.87	3.86
SLFNL1	0	0	0	0	0	0	0	0	0	0
SLIRP	1.63	1.63	2.05	2.05	1.63	2.05	2.04	1.63	2.05	1.77
SLIT1	0	0	0	0	0	0	0	0	0	0
SLIT2	2.58	2.58	2.02	2.02	2.58	2.02	3.52	2.58	2.02	2.22
SLIT2-IT1	0	0	0	0	0	0	0	0	0	0
SLIT3	6.19	6.19	5.12	5.12	6.19	5.12	6.66	6.19	5.12	6.08
SLITRK1	0	0	0	0	0	0	0	0	0	0
SLITRK2	0.81	0.81	0.55	0.55	0.81	0.55	0.93	0.81	0.55	1.36
SLITRK3	0	0	0	0	0	0	0	0	0	0
SLITRK4	4.62	4.62	4.19	4.19	4.62	4.19	4.69	4.62	4.19	3.83
SLITRK5	0	0	0	0	0	0	0	0	0	0
SLITRK6	0	0	0	0	0	0	0	0	0	0
SLK	4.8	4.8	4.12	4.12	4.8	4.12	4.61	4.8	4.12	3.9
SLMAP	6.15	6.15	6.16	6.16	6.15	6.16	7.22	6.15	6.16	6.2
SLMO1	0.15	0.15	0.42	0.42	0.15	0.42	1.16	0.15	0.42	1.62
SLMO2	4.06	4.06	3.99	3.99	4.06	3.99	3.69	4.06	3.99	3.63
SLN	0.42	0.42	0	0	0.42	0	0	0.42	0	0
SLPI	2.03	2.03	4	4	2.03	4	1.18	2.03	4	0.01
SLTM	4.24	4.24	4.25	4.25	4.24	4.25	4.27	4.24	4.25	4.34
SLU7	2.04	2.04	1.88	1.88	2.04	1.88	1.99	2.04	1.88	1.55
SLURP1	0	0	0	0	0	0	0	0	0	0
SLX1A	0	0	0	0	0	0	0	0	0	0
SLX1B	0	0	0	0	0	0	0	0	0	0
SLX4	2.82	2.82	2.51	2.51	2.82	2.51	3.05	2.82	2.51	3.01
SLX4IP	0	0	0	0	0	0	0	0	0	0
SMAD1	2.1	2.1	1.99	1.99	2.1	1.99	3.22	2.1	1.99	2
SMAD2	3.63	3.63	3.84	3.84	3.63	3.84	3.84	3.63	3.84	3.75
SMAD3	8.06	8.06	8.72	8.72	8.06	8.72	8.08	8.06	8.72	8.03
SMAD4	4.61	4.61	4.59	4.59	4.61	4.59	5.07	4.61	4.59	4.27
SMAD5	4.21	4.21	3.83	3.83	4.21	3.83	4.56	4.21	3.83	3.76
SMAD5-AS1	0	0	0	0	0	0	0	0	0	0
SMAD6	1.92	1.92	3.14	3.14	1.92	3.14	2.29	1.92	3.14	2.57
SMAD7	2.43	2.43	2.92	2.92	2.43	2.92	3.22	2.43	2.92	3.57
SMAD9	0.59	0.59	0.22	0.22	0.59	0.22	1.29	0.59	0.22	0
SMAD9-AS1	0	0	0	0	0	0	0	0	0	0
SMAGP	3.59	3.59	2.93	2.93	3.59	2.93	3.7	3.59	2.93	2.35
SMAP1	0.76	0.76	0.39	0.39	0.76	0.39	0.37	0.76	0.39	0.27
SMAP2	4.15	4.15	4.65	4.65	4.15	4.65	3.53	4.15	4.65	4.34
SMARCA1	4.27	4.27	4.2	4.2	4.27	4.2	4.86	4.27	4.2	4.16
SMARCA2	4.57	4.57	4.36	4.36	4.57	4.36	4.48	4.57	4.36	3.84
SMARCA4	3.13	3.13	3.38	3.38	3.13	3.38	3.05	3.13	3.38	3.19
SMARCA5	3.81	3.81	4.04	4.04	3.81	4.04	4.24	3.81	4.04	3.75
SMARCA5-AS1	0	0	0	0	0	0	0	0	0	0
SMARCAD1	2.37	2.37	2.73	2.73	2.37	2.73	2.84	2.37	2.73	2.49
SMARCAL1	0.49	0.49	0.97	0.97	0.49	0.97	1.46	0.49	0.97	1.11
SMARCB1	1.98	1.98	2.23	2.23	1.98	2.23	2.33	1.98	2.23	2.34
SMARCC1	3.99	3.99	3.92	3.92	3.99	3.92	4.12	3.99	3.92	3.79
SMARCC2	4.05	4.05	4.45	4.45	4.05	4.45	4.41	4.05	4.45	3.99
SMARCD1	3.79	3.79	4.01	4.01	3.79	4.01	3.98	3.79	4.01	3.79
SMARCD2	3.88	3.88	4.15	4.15	3.88	4.15	3.49	3.88	4.15	3.09
SMARCD3	2.62	2.62	2.45	2.45	2.62	2.45	3.11	2.62	2.45	2.61
SMARCE1	5.87	5.87	6.08	6.08	5.87	6.08	6.59	5.87	6.08	5.92
SMC1A	2.91	2.91	3.16	3.16	2.91	3.16	3	2.91	3.16	2.54
SMC1B	0	0	0	0	0	0	0	0	0	0
SMC2	3.07	3.07	3.1	3.1	3.07	3.1	3.53	3.07	3.1	3.25
SMC3	5.09	5.09	5.06	5.06	5.09	5.06	5.27	5.09	5.06	4.6
SMC4	3.21	3.21	2.71	2.71	3.21	2.71	3.22	3.21	2.71	3.14
SMC5	6.02	6.02	5.22	5.22	6.02	5.22	5.52	6.02	5.22	5.26
SMC5-AS1	0	0	0	0	0	0	0	0	0	0
SMC6	5.77	5.77	5.74	5.74	5.77	5.74	6.73	5.77	5.74	5.98
SMCHD1	5.18	5.18	4.85	4.85	5.18	4.85	4.96	5.18	4.85	4.41
SMCO1	0	0	0	0	0	0	0	0	0	0
SMCO2	0	0	0	0	0	0	0	0	0	0
SMCO3	0	0	0	0	0	0	0	0	0	0
SMCO4	0	0	0	0	0	0	0	0	0	1.74
SMCP	0	0	0	0	0	0	0	0	0	0
SMCR2	0	0	0	0	0	0	0	0	0	0
SMCR5	0	0	0	0	0	0	0	0	0	0
SMCR8	0.51	0.51	0.69	0.69	0.51	0.69	0.36	0.51	0.69	0
SMDT1	3.08	3.08	3.89	3.89	3.08	3.89	4.41	3.08	3.89	3.9
SMEK1	4.73	4.73	4.24	4.24	4.73	4.24	4.43	4.73	4.24	4.45
SMEK2	4.45	4.45	3.87	3.87	4.45	3.87	4.22	4.45	3.87	3.93
SMG1	7.4	7.4	7.43	7.43	7.4	7.43	7.65	7.4	7.43	6.99
SMG5	4.82	4.82	4.85	4.85	4.82	4.85	4.14	4.82	4.85	4.59
SMG6	3.28	3.28	3.28	3.28	3.28	3.28	3.89	3.28	3.28	2.93
SMG7	3.87	3.87	3.84	3.84	3.87	3.84	4.41	3.87	3.84	4.05
SMG7-AS1	0	0	0	0	0	0	0	0	0	0
SMG8	1.61	1.61	2.47	2.47	1.61	2.47	2.29	1.61	2.47	1.26
SMG9	4.69	4.69	5.1	5.1	4.69	5.1	5.38	4.69	5.1	5.21
SMIM1	0	0	0	0	0	0	0	0	0	0
SMIM11	1.84	1.84	1.94	1.94	1.84	1.94	2.36	1.84	1.94	1.77
SMIM12	5.3	5.3	5.65	5.65	5.3	5.65	5.34	5.3	5.65	5.2
SMIM13	4.08	4.08	3.95	3.95	4.08	3.95	4.49	4.08	3.95	3.97
SMIM14	7.01	7.01	7.34	7.34	7.01	7.34	7.63	7.01	7.34	7
SMIM15	3.79	3.79	4.12	4.12	3.79	4.12	4.26	3.79	4.12	4.25
SMIM17	0	0	0	0	0	0	0	0	0	0
SMIM18	0	0	0	0	0	0	0	0	0	0
SMIM19	4.54	4.54	3.19	3.19	4.54	3.19	3.97	4.54	3.19	3.45
SMIM2	0	0	0	0	0	0	0	0	0	0
SMIM20	1.89	1.89	1.88	1.88	1.89	1.88	1.85	1.89	1.88	1.92
SMIM21	0	0	0	0	0	0	0	0	0	0
SMIM22	0	0	0	0	0	0	0	0	0	0
SMIM2-AS1	0	0	0	0	0	0	0	0	0	0
SMIM2-IT1	0	0	0	0	0	0	0	0	0	0
SMIM3	0	0	0	0	0	0	0	0	0	0
SMIM4	1.06	1.06	1.77	1.77	1.06	1.77	1.29	1.06	1.77	1.64
SMIM5	0	0	0	0	0	0	0	0	0	0
SMIM6	0	0	0	0	0	0	0	0	0	0
SMIM7	2.79	2.79	3.57	3.57	2.79	3.57	3.49	2.79	3.57	3
SMIM8	0.43	0.43	0.44	0.44	0.43	0.44	1.08	0.43	0.44	0.33
SMIM9	0	0	0	0	0	0	0	0	0	0
SMKR1	0	0	0	0	0	0	0	0	0	0
SMLR1	0	0	0	0	0	0	0	0	0	0
SMN1	1.01	1.01	0.36	0.36	1.01	0.36	1.03	1.01	0.36	0.87
SMN2	0.08	0.08	0.95	0.95	0.08	0.95	0	0.08	0.95	1.26
SMNDC1	2.26	2.26	2.1	2.1	2.26	2.1	2.42	2.26	2.1	2.25
SMO	1.31	1.31	0.19	0.19	1.31	0.19	1.04	1.31	0.19	0.63
SMOC1	3.85	3.85	4.6	4.6	3.85	4.6	3.19	3.85	4.6	3.89
SMOC2	6.58	6.58	5.34	5.34	6.58	5.34	6.26	6.58	5.34	5.48
SMOX	3.94	3.94	2.21	2.21	3.94	2.21	2.69	3.94	2.21	2.86
SMPD1	6.97	6.97	6.06	6.06	6.97	6.06	5.4	6.97	6.06	5.86
SMPD2	2.13	2.13	2.25	2.25	2.13	2.25	2.49	2.13	2.25	2.75
SMPD3	0.91	0.91	1.15	1.15	0.91	1.15	1.78	0.91	1.15	1.52
SMPD4	2.61	2.61	2.47	2.47	2.61	2.47	2.58	2.61	2.47	2.42
SMPDL3A	4.49	4.49	2.44	2.44	4.49	2.44	3.3	4.49	2.44	3.76
SMPDL3B	0	0	0	0	0	0	0	0	0	0
SMPX	0	0	0	0	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0	0	0	0	0
SMS	2.61	2.61	2.22	2.22	2.61	2.22	2.57	2.61	2.22	3.52
SMTN	5.2	5.2	4.05	4.05	5.2	4.05	5.04	5.2	4.05	4.6
SMTNL1	0	0	0	0	0	0	0	0	0	0
SMTNL2	0	0	0.01	0.01	0	0.01	0	0	0.01	0
SMU1	7.32	7.32	7.59	7.59	7.32	7.59	7.59	7.32	7.59	7.19
SMUG1	1.06	1.06	1.6	1.6	1.06	1.6	1.24	1.06	1.6	1.16
SMURF1	5.01	5.01	4.18	4.18	5.01	4.18	4.28	5.01	4.18	4.13
SMURF2	4.98	4.98	4.17	4.17	4.98	4.17	5.56	4.98	4.17	4.8
SMYD1	0	0	0	0	0	0	0	0	0	0
SMYD2	3.43	3.43	3.65	3.65	3.43	3.65	3.38	3.43	3.65	3.92
SMYD3	1.07	1.07	0.53	0.53	1.07	0.53	1.59	1.07	0.53	0.9
SMYD3-IT1	0	0	0	0	0	0	0	0	0	0
SMYD4	3.02	3.02	2.98	2.98	3.02	2.98	2.8	3.02	2.98	2.91
SMYD5	2.28	2.28	2.54	2.54	2.28	2.54	2.47	2.28	2.54	2.18
SNAI1	0	0	0.39	0.39	0	0.39	0.64	0	0.39	1.26
SNAI2	2.15	2.15	3.19	3.19	2.15	3.19	2.91	2.15	3.19	2.44
SNAI3	0	0	0	0	0	0	0	0	0	1.17
SNAI3-AS1	0	0	0	0	0	0	0	0	0	0
SNAP23	3.65	3.65	3.99	3.99	3.65	3.99	4.21	3.65	3.99	3.93
SNAP25	0	0	0	0	0	0	0	0	0	1.12
SNAP25-AS1	0	0	0	0	0	0	0	0	0	0
SNAP29	3.26	3.26	2.77	2.77	3.26	2.77	2.83	3.26	2.77	2.71
SNAP47	3.16	3.16	2.69	2.69	3.16	2.69	3.07	3.16	2.69	2.66
SNAP47-AS1	0	0	0	0	0	0	0	0	0	0
SNAP91	0	0	0	0	0	0	0	0	0	0
SNAPC1	0.79	0.79	0.67	0.67	0.79	0.67	0.92	0.79	0.67	1.51
SNAPC2	3.86	3.86	3.91	3.91	3.86	3.91	3.82	3.86	3.91	3.7
SNAPC3	4.46	4.46	4.9	4.9	4.46	4.9	5.26	4.46	4.9	4.85
SNAPC4	2.85	2.85	2	2	2.85	2	2.37	2.85	2	2.52
SNAPC5	0	0	0.16	0.16	0	0.16	0.32	0	0.16	0.17
SNAPIN	2.35	2.35	2.68	2.68	2.35	2.68	2.61	2.35	2.68	2.42
SNCA	1.44	1.44	1.38	1.38	1.44	1.38	0.96	1.44	1.38	1.75
SNCAIP	2.04	2.04	1.9	1.9	2.04	1.9	4.05	2.04	1.9	2.53
SNCB	0	0	0	0	0	0	0	0	0	0
SNCG	3.45	3.45	5.48	5.48	3.45	5.48	5.01	3.45	5.48	4.37
SND1	1.75	1.75	2.24	2.24	1.75	2.24	1.93	1.75	2.24	1.84
SNED1	6.36	6.36	5.54	5.54	6.36	5.54	4.88	6.36	5.54	5.15
SNF8	2.41	2.41	2.72	2.72	2.41	2.72	2.4	2.41	2.72	2.49
SNHG1	4.11	4.11	3.49	3.49	4.11	3.49	3.47	4.11	3.49	3.47
SNHG10	1.06	1.06	0.58	0.58	1.06	0.58	1.14	1.06	0.58	0.67
SNHG11	2.64	2.64	1.21	1.21	2.64	1.21	1.81	2.64	1.21	1.5
SNHG12	3.53	3.53	3.08	3.08	3.53	3.08	3.27	3.53	3.08	4.6
SNHG14	3.87	3.87	4.53	4.53	3.87	4.53	4.98	3.87	4.53	4.01
SNHG15	2.57	2.57	2.32	2.32	2.57	2.32	2.23	2.57	2.32	2.75
SNHG16	7.05	7.05	6.54	6.54	7.05	6.54	5.48	7.05	6.54	6.03
SNHG17	6.15	6.15	4.59	4.59	6.15	4.59	5.2	6.15	4.59	4.28
SNHG18	1.09	1.09	0.33	0.33	1.09	0.33	1.08	1.09	0.33	0.8
SNHG3	0	0	0	0	0	0	0	0	0	0
SNHG5	8.58	8.58	7.32	7.32	8.58	7.32	8.12	8.58	7.32	7.78
SNHG6	4.6	4.6	3.94	3.94	4.6	3.94	4.43	4.6	3.94	4.06
SNHG7	6.33	6.33	6.25	6.25	6.33	6.25	5.05	6.33	6.25	5.65
SNHG8	3.88	3.88	3.44	3.44	3.88	3.44	3.41	3.88	3.44	3.07
SNHG9	4.03	4.03	4.54	4.54	4.03	4.54	3.8	4.03	4.54	4.52
SNIP1	6.44	6.44	5.86	5.86	6.44	5.86	5.96	6.44	5.86	5.74
SNN	6.55	6.55	7.19	7.19	6.55	7.19	6.57	6.55	7.19	6.74
SNORA11	0	0	0	0	0	0	0	0	0	0
SNORA40	0	0	0	0	0	0	0	0	0	0
SNORA59B	0	0	0	0	0	0	0	0	0	0
SNORA67	0	0	0	0	0	0	0	0	0	0
SNORA71B	0	0	0	0	0	0	0	0	0	0
SNORA76	0	0	0	0	0	0	0	0	0	0
SNORD109A	0	0	0	0	0	0	0	0	0	0
SNORD116-20	0	0	0.33	0.33	0	0.33	1.37	0	0.33	0.1
SNORD3A	4.41	4.41	3.69	3.69	4.41	3.69	0.07	4.41	3.69	5.16
SNORD3B-1	1.29	1.29	0	0	1.29	0	0.69	1.29	0	1.14
SNORD3B-2	0	0	0	0	0	0	0	0	0	0
SNORD3C	0	0	0	0	0	0	0	0	0	0
SNORD3D	0	0	0	0	0	0	0	0	0	0
SNORD45	0	0	0	0	0	0	0	0	0	0
SNORD64	0	0	0	0	0	0	0	0	0	0
SNORD91A	0	0	0	0	0	0	0	0	0	0
SNORD91B	0	0	0	0	0	0	0	0	0	0
snoU13	0	0	0	0	0	0	0	0	0	0
SNPH	0	0	0.34	0.34	0	0.34	0.55	0	0.34	0
SNRK	3.95	3.95	4.14	4.14	3.95	4.14	5.08	3.95	4.14	4.41
SNRK-AS1	0	0	0	0	0	0	0	0	0	0
SNRNP200	6.41	6.41	6.14	6.14	6.41	6.14	6.18	6.41	6.14	6.09
SNRNP25	3.35	3.35	3.31	3.31	3.35	3.31	3.32	3.35	3.31	3.41
SNRNP27	3.73	3.73	3.61	3.61	3.73	3.61	3.62	3.73	3.61	3.62
SNRNP35	2.75	2.75	3.86	3.86	2.75	3.86	3.79	2.75	3.86	3.5
SNRNP40	3.72	3.72	3.82	3.82	3.72	3.82	3.91	3.72	3.82	3.81
SNRNP48	4.01	4.01	3.66	3.66	4.01	3.66	4.12	4.01	3.66	3.45
SNRNP70	7.1	7.1	7.25	7.25	7.1	7.25	7.07	7.1	7.25	7.05
SNRPA	5.36	5.36	5.02	5.02	5.36	5.02	5.16	5.36	5.02	4.82
SNRPA1	3.78	3.78	2.8	2.8	3.78	2.8	2.62	3.78	2.8	3.02
SNRPB	6.1	6.1	5.81	5.81	6.1	5.81	5.38	6.1	5.81	5.71
SNRPB2	3.67	3.67	3.6	3.6	3.67	3.6	3.58	3.67	3.6	3.33
SNRPC	3.93	3.93	4.12	4.12	3.93	4.12	4.14	3.93	4.12	4.19
SNRPD1	1.54	1.54	1.56	1.56	1.54	1.56	1.92	1.54	1.56	1.68
SNRPD2	3.31	3.31	3.29	3.29	3.31	3.29	3.3	3.31	3.29	3.02
SNRPD3	2.76	2.76	3.28	3.28	2.76	3.28	3.45	2.76	3.28	2.92
SNRPE	3.12	3.12	2.91	2.91	3.12	2.91	3.27	3.12	2.91	2.68
SNRPF	1.88	1.88	1.99	1.99	1.88	1.99	2.34	1.88	1.99	1.95
SNRPG	2.18	2.18	2.88	2.88	2.18	2.88	2.31	2.18	2.88	2.54
SNRPN	0	0	0	0	0	0	0	0	0	0
SNTA1	4.8	4.8	4.55	4.55	4.8	4.55	4.69	4.8	4.55	4.45
SNTB1	0.77	0.77	1.39	1.39	0.77	1.39	2.23	0.77	1.39	2.15
SNTB2	4.62	4.62	4.72	4.72	4.62	4.72	5.17	4.62	4.72	4.53
SNTG1	0	0	0	0	0	0	0	0	0	0
SNTG2	0.96	0.96	0.5	0.5	0.96	0.5	1.14	0.96	0.5	0
SNTN	0	0	0	0	0	0	0	0	0	0
SNUPN	0.46	0.46	1.59	1.59	0.46	1.59	1.69	0.46	1.59	1.23
SNURF	0	0	0	0	0	0	0	0	0	0
SNW1	4.06	4.06	3.97	3.97	4.06	3.97	4.09	4.06	3.97	3.77
SNX1	5.41	5.41	5.78	5.78	5.41	5.78	5.82	5.41	5.78	5.46
SNX10	0.16	0.16	2.36	2.36	0.16	2.36	0.15	0.16	2.36	2.92
SNX11	1.2	1.2	1.69	1.69	1.2	1.69	1.32	1.2	1.69	1.25
SNX12	3.27	3.27	3.55	3.55	3.27	3.55	3.8	3.27	3.55	3.36
SNX13	3.2	3.2	3.28	3.28	3.2	3.28	3.3	3.2	3.28	3.01
SNX14	3.75	3.75	3.52	3.52	3.75	3.52	3.7	3.75	3.52	3.64
SNX15	0.66	0.66	2.14	2.14	0.66	2.14	2.44	0.66	2.14	1.8
SNX16	1.3	1.3	1.96	1.96	1.3	1.96	2.06	1.3	1.96	1.69
SNX17	4.36	4.36	4.87	4.87	4.36	4.87	4.48	4.36	4.87	4.36
SNX18	2.87	2.87	2.78	2.78	2.87	2.78	3.73	2.87	2.78	3.03
SNX19	2.57	2.57	3.15	3.15	2.57	3.15	2.79	2.57	3.15	2.93
SNX2	4.12	4.12	4.49	4.49	4.12	4.49	4.36	4.12	4.49	4.2
SNX20	0.1	0.1	1.3	1.3	0.1	1.3	0.74	0.1	1.3	2.63
SNX21	2.96	2.96	2.41	2.41	2.96	2.41	2.64	2.96	2.41	2.4
SNX22	0	0	0	0	0	0	0	0	0	0
SNX24	1.68	1.68	1.19	1.19	1.68	1.19	1.65	1.68	1.19	2.28
SNX25	2.15	2.15	1.08	1.08	2.15	1.08	0.98	2.15	1.08	0.64
SNX27	4.43	4.43	4.35	4.35	4.43	4.35	4.36	4.43	4.35	4.25
SNX29	2.95	2.95	2.96	2.96	2.95	2.96	2.84	2.95	2.96	2.32
SNX29P2	0	0	0	0	0	0	0	0	0	0
SNX3	5.96	5.96	6.45	6.45	5.96	6.45	6.35	5.96	6.45	5.92
SNX30	2.52	2.52	2.31	2.31	2.52	2.31	2.4	2.52	2.31	2.94
SNX31	0	0	0	0	0	0	0	0	0	0
SNX32	0	0	0	0	0	0	0	0	0	0
SNX33	6.16	6.16	5.79	5.79	6.16	5.79	6.12	6.16	5.79	5.5
SNX4	2.42	2.42	2.36	2.36	2.42	2.36	2.6	2.42	2.36	2.15
SNX5	5.62	5.62	6.1	6.1	5.62	6.1	5.84	5.62	6.1	6.23
SNX6	3.34	3.34	3.4	3.4	3.34	3.4	3.74	3.34	3.4	3.54
SNX7	3.05	3.05	2.61	2.61	3.05	2.61	3.47	3.05	2.61	2.32
SNX8	4.36	4.36	4.33	4.33	4.36	4.33	2.98	4.36	4.33	3.95
SNX9	5.31	5.31	4.42	4.42	5.31	4.42	4.89	5.31	4.42	4.73
SOAT1	3.79	3.79	3.37	3.37	3.79	3.37	2.51	3.79	3.37	4.11
SOAT2	0	0	0	0	0	0	0	0	0	0
SOBP	2.57	2.57	3.06	3.06	2.57	3.06	3.65	2.57	3.06	3.13
SOCS1	0.55	0.55	3.53	3.53	0.55	3.53	0.42	0.55	3.53	0
SOCS2	0.25	0.25	0.22	0.22	0.25	0.22	0.63	0.25	0.22	0.56
SOCS2-AS1	0.42	0.42	0	0	0.42	0	0.74	0.42	0	0
SOCS3	2.28	2.28	2.58	2.58	2.28	2.58	2.2	2.28	2.58	5.21
SOCS4	1.11	1.11	1.08	1.08	1.11	1.08	1.06	1.11	1.08	1.05
SOCS5	1.67	1.67	1.48	1.48	1.67	1.48	2.3	1.67	1.48	1.51
SOCS6	3.41	3.41	3.35	3.35	3.41	3.35	3.91	3.41	3.35	3.46
SOCS7	0.1	0.1	0	0	0.1	0	0.04	0.1	0	0
SOD1	3.11	3.11	3.88	3.88	3.11	3.88	3.67	3.11	3.88	3.17
SOD2	6.8	6.8	6.7	6.7	6.8	6.7	4.72	6.8	6.7	5.83
SOD3	4.01	4.01	3.7	3.7	4.01	3.7	3.9	4.01	3.7	3.86
SOGA1	3.46	3.46	3.89	3.89	3.46	3.89	4.03	3.46	3.89	3.65
SOGA2	1.24	1.24	0	0	1.24	0	0	1.24	0	0.04
SOGA3	0	0	0	0	0	0	0	0	0	0
SOHLH1	0	0	0	0	0	0	0	0	0	0
SOHLH2	0	0	0	0	0	0	0	0	0	0
SON	5.05	5.05	5.78	5.78	5.05	5.78	5.55	5.05	5.78	5.1
SORBS1	3.64	3.64	5.28	5.28	3.64	5.28	3.19	3.64	5.28	3.13
SORBS2	1.16	1.16	1.76	1.76	1.16	1.76	4.11	1.16	1.76	1.35
SORBS3	5.77	5.77	4.99	4.99	5.77	4.99	5.9	5.77	4.99	5.18
SORCS1	3.13	3.13	0.68	0.68	3.13	0.68	0.9	3.13	0.68	0.08
SORCS2	0.18	0.18	0	0	0.18	0	0	0.18	0	1.15
SORCS3	0	0	0	0	0	0	0	0	0	0
SORCS3-AS1	0	0	0	0	0	0	0	0	0	0
SORD	0	0	1.34	1.34	0	1.34	1.25	0	1.34	0.77
SORL1	3	3	1.77	1.77	3	1.77	2.85	3	1.77	3.49
SORT1	4.48	4.48	5.59	5.59	4.48	5.59	4.55	4.48	5.59	4.91
SOS1	5.85	5.85	6.3	6.3	5.85	6.3	5.9	5.85	6.3	6.35
SOS1-IT1	0	0	0	0	0	0	0	0	0	0
SOS2	3.93	3.93	3.57	3.57	3.93	3.57	4.01	3.93	3.57	3.49
SOST	0	0	0	0	0	0	0	0	0	0
SOSTDC1	0	0	0	0	0	0	0	0	0	0
SOWAHA	0	0	0	0	0	0	0	0	0	0
SOWAHB	0	0	0	0	0	0	0	0	0	0
SOWAHC	4.02	4.02	2.61	2.61	4.02	2.61	3.7	4.02	2.61	3.17
SOWAHD	0	0	0	0	0	0	0	0	0	0.77
SOX1	0	0	0	0	0	0	0	0	0	0
SOX10	2.56	2.56	0.3	0.3	2.56	0.3	0.28	2.56	0.3	0
SOX11	0	0	0	0	0	0	0	0	0	0
SOX12	1.69	1.69	2.06	2.06	1.69	2.06	2.59	1.69	2.06	2.75
SOX13	5.04	5.04	5.19	5.19	5.04	5.19	5.52	5.04	5.19	4.31
SOX14	0	0	0	0	0	0	0	0	0	0
SOX15	0.37	0.37	0	0	0.37	0	0	0.37	0	0
SOX17	0.71	0.71	2.56	2.56	0.71	2.56	1.71	0.71	2.56	2.86
SOX18	1.41	1.41	3.02	3.02	1.41	3.02	2.94	1.41	3.02	2.21
SOX2	0	0	0	0	0	0	0	0	0	0
SOX21	0	0	0	0	0	0	0	0	0	0
SOX21-AS1	0	0	0	0	0	0	0	0	0	0
SOX2-OT	0	0	0	0	0	0	0	0	0	0
SOX3	0	0	0	0	0	0	0	0	0	0
SOX30	0	0	0	0	0	0	0	0	0	0
SOX4	3.87	3.87	2.77	2.77	3.87	2.77	2.6	3.87	2.77	3.37
SOX5	0	0	1.7	1.7	0	1.7	1.92	0	1.7	0.35
SOX6	0	0	0	0	0	0	0.75	0	0	0
SOX7	1.71	1.71	2.88	2.88	1.71	2.88	3.62	1.71	2.88	3.41
SOX8	0	0	0	0	0	0	0	0	0	0
SOX9	2.4	2.4	0.71	0.71	2.4	0.71	0.2	2.4	0.71	0.69
SP1	5.63	5.63	6.08	6.08	5.63	6.08	6.2	5.63	6.08	5.91
SP100	5.27	5.27	4.65	4.65	5.27	4.65	4.5	5.27	4.65	4.62
SP110	2.36	2.36	2.82	2.82	2.36	2.82	2.79	2.36	2.82	2.62
SP140	0	0	0	0	0	0	0	0	0	1.38
SP140L	3.13	3.13	2.67	2.67	3.13	2.67	2.96	3.13	2.67	3.26
SP2	2.07	2.07	2.82	2.82	2.07	2.82	2.87	2.07	2.82	2.41
SP3	6.54	6.54	5.91	5.91	6.54	5.91	6.35	6.54	5.91	6.25
SP4	3.14	3.14	2.99	2.99	3.14	2.99	3.43	3.14	2.99	2.44
SP5	4.6	4.6	1.61	1.61	4.6	1.61	0.51	4.6	1.61	2.16
SP6	2.55	2.55	0	0	2.55	0	0	2.55	0	0.5
SP7	0	0	0	0	0	0	0	0	0	0
SP8	0	0	0	0	0	0	0	0	0	0
SP9	0	0	0	0	0	0	0	0	0	0
SPA17	0	0	0	0	0	0	0	0	0	0
